Medical_Term,Frequency
patient,24108
right,11162
left,10853
history,9376
procedure,7179
placed,6962
normal,6917
well,5851
pain,5360
also,4325
using,4121
blood,3917
time,3896
noted,3877
performed,3792
skin,3752
without,3730
incision,3570
anesthesia,3550
used,3517
removed,3478
room,3429
diagnosis,3172
anterior,2898
artery,2897
taken,2800
back,2630
past,2599
chest,2581
examination,2518
position,2515
area,2474
general,2467
lower,2457
two,2407
neck,2341
made,2330
fashion,2327
upper,2321
one,2289
closed,2267
postoperative,2239
good,2223
posterior,2221
pressure,2212
present,2188
lateral,2174
medical,2159
operating,2151
approximately,2147
abdomen,2127
vicryl,2123
heart,2111
preoperative,2104
medications,2096
significant,2094
evidence,2072
disease,2057
obtained,2014
given,2005
tissue,1997
negative,1967
exam,1922
sterile,1912
denies,1901
suture,1891
surgery,1885
clear,1863
physical,1854
small,1815
done,1805
prepped,1790
catheter,1784
distal,1770
side,1754
stable,1737
care,1723
findings,1719
seen,1716
condition,1714
draped,1709
loss,1699
family,1698
wound,1694
head,1694
mild,1689
prior,1654
bilateral,1651
intact,1644
within,1641
complications,1639
showed,1636
day,1626
extremities,1620
coronary,1613
rate,1600
identified,1599
brought,1595
symptoms,1591
next,1586
signs,1562
level,1553
would,1547
surgical,1536
bone,1530
plan,1517
per,1511
soft,1508
bleeding,1503
acute,1501
hospital,1493
proximal,1482
needle,1478
muscle,1460
medial,1460
dissection,1455
bladder,1440
found,1440
female,1440
bilaterally,1422
nerve,1403
abdominal,1394
tolerated,1385
bowel,1362
chronic,1359
status,1351
discussed,1343
diagnoses,1341
cervical,1330
first,1325
point,1321
years,1298
fascia,1296
applied,1288
review,1275
following,1262
hemostasis,1261
however,1253
last,1249
daily,1249
today,1246
difficulty,1244
mass,1243
recovery,1240
weight,1236
states,1229
evaluation,1217
may,1212
pulmonary,1205
discharge,1200
illness,1198
joint,1197
tube,1194
days,1184
revealed,1183
subcutaneous,1182
extremity,1178
usual,1157
place,1155
use,1155
attention,1153
treatment,1150
weeks,1136
total,1134
risks,1131
knee,1128
multiple,1128
large,1128
vein,1125
aspect,1125
three,1122
femoral,1122
could,1112
supine,1110
systems,1109
sutures,1100
inserted,1095
see,1095
home,1095
impression,1086
male,1085
white,1080
renal,1076
site,1075
including,1074
allergies,1074
since,1072
regular,1071
operative,1069
severe,1056
due,1028
second,1022
respiratory,1018
consent,1017
carried,1016
able,1010
appropriate,1008
problems,1005
secondary,997
throughout,995
post,989
inferior,986
mother,986
tendon,983
interrupted,983
changes,982
lesion,980
midline,977
nasal,972
ago,971
running,970
social,969
foot,968
along,963
eye,962
wall,961
infection,958
irrigated,953
followed,951
appeared,946
elevated,945
pulse,939
previous,938
estimated,937
positive,935
stenosis,931
fracture,928
ligament,914
size,912
cardiac,911
emergency,906
fluid,904
portion,904
therapy,898
possible,897
heent,890
superior,883
vital,881
table,879
course,879
external,876
